id,facebook_id,page_name,page_type
0,1.45647E+14,The Voice of China ?ˆ–??Æ?ÛÆ??õ??Å,tvshow
1,1.91483E+11,U.S. Consulate General Mumbai,government
6829,2.0793E+11,U.S. Consulate General Karachi,government
8894,74343933456,Embaixada EUA Brasil / US Embassy Brazil,government
10281,4.1039E+14,American Citizen Services India,government
15785,3.43064E+11,Exchange Programs - U.S. Department of State,government
16590,86264954382,U.S. Embassy London,government
18427,1.56388E+15,The Voice Global,tvshow
20135,1.89032E+14,U.S. State Department - OES,government
21708,3.67067E+11,U.S. Department of State: Bureau of Intl Narcotics & Law Enforcement (INL),government
22171,38802554124,U.S. Embassy Ottawa,government
22208,9229303148,U.S. Department of State: Consular Affairs,government
